statsapi_key,stat_group,canonical_key,stat_category,disposition,notes
inheritedRunnersScored,pitching,inherited_runners_scored,pitching,mapped,IRSTR derivation input
inningsPitched,pitching,,,notation,Decimal-thirds display string ('6.2' = 6-2/3); outs is the integer primitive and the INN scoring payer
intentionalWalks,pitching,intentional_walks_issued,pitching,mapped,
losses,pitching,losses,pitching,mapped,
numberOfPitches,pitching,pitch_count,pitching,mapped,
obp,pitching,,,rate,Feed-computed rate
ops,pitching,,,rate,Feed-computed rate
outs,pitching,outs_recorded,pitching,mapped,IP as integer thirds -- the primitive CBS's INN scoring pays (+1/out = +3/inning)
pickoffs,pitching,pickoffs,pitching,mapped,
pitchesPerInning,pitching,,,rate,Feed-computed rate
runs,pitching,runs_allowed,pitching,mapped,All runs allowed (earned_runs is the scored subset)
runsScoredPer9,pitching,,,rate,Feed-computed rate
sacBunts,pitching,,,no_canonical,Sac bunts allowed; no CBS/canonical counterpart
sacFlies,pitching,,,no_canonical,Sac flies allowed; no CBS/canonical counterpart
saveOpportunities,pitching,save_opportunities,pitching,mapped,
saves,pitching,saves,pitching,mapped,Scored +8 (CBS S)
shutouts,pitching,shutouts,pitching,mapped,
slg,pitching,,,rate,Feed-computed rate
stolenBasePercentage,pitching,,,rate,Feed-computed rate
stolenBases,pitching,,,no_canonical,SB allowed while pitching; no CBS/canonical counterpart
strikeOuts,pitching,strikeouts_pitching,pitching,mapped,Scored +1 (CBS K)
strikePercentage,pitching,,,rate,Feed-computed rate
strikeoutWalkRatio,pitching,,,rate,Feed-computed rate
strikeoutsPer9Inn,pitching,,,rate,Feed-computed rate
strikes,pitching,,,no_canonical,Strikes thrown; no CBS/canonical counterpart
summary,pitching,,,display,Human-readable game line
totalBases,pitching,total_bases_allowed,pitching,mapped,
triples,pitching,triples_allowed,pitching,mapped,
walksPer9Inn,pitching,,,rate,Feed-computed rate
whip,pitching,,,rate,Feed-computed rate
wildPitches,pitching,wild_pitches,pitching,mapped,
winPercentage,pitching,,,rate,Feed-computed rate
wins,pitching,wins,pitching,mapped,Scored +10
