stat_name,espn_stat_id,stat_category,espn_stat_label,display_name,abbrev,is_counting,is_derived,derivation_expr,auto_tracked,is_record_candidate,polarity,qualifier_stat,qualifier_min,notes,canonical_key
WP,50,pitching,Wild Pitches,Wild Pitches,WP,true,false,,false,true,negative,,,,wild_pitches
BLK,51,pitching,Balks,Balks,BK,true,false,,false,true,negative,,,,balks
PK,52,pitching,Pickoffs,Pickoffs,PK,true,false,,false,true,positive,,,,pickoffs
W,53,pitching,Wins,Wins,W,true,false,,false,true,positive,,,,wins
L,54,pitching,Losses,Losses,L,true,false,,false,true,negative,,,,losses
WPCT,55,pitching,Win Percentage,Win Percentage,WPCT,false,false,,false,false,neutral,,,,win_pct
SVO,56,pitching,Save Opportunities,Save Opportunities,SVO,true,false,,false,false,neutral,,,,save_opportunities
SV,57,pitching,Saves,Saves,SV,true,false,,false,true,positive,,,,saves
BLSV,58,pitching,Blown Saves,Blown Saves,BLSV,true,false,,false,true,negative,,,,blown_saves
SV%,59,pitching,Save Percentage,Save Percentage,SV%,false,false,,false,false,neutral,,,,
HLD,60,pitching,Holds,Holds,HLD,true,false,,false,true,positive,,,,holds
61,61,pitching,Games in Relief (internal),Games in Relief (internal),61,false,false,,false,false,neutral,,,Stat_name kept as numeric to match raw breakdown. Always 1.0 for relief pitchers only (never starters). Complement of GS. is_counting=false because it's redundant with GS for our purposes and never appears as a wide-pivot column downstream.,
CG,62,pitching,Complete Games,Complete Games,CG,true,false,,false,true,positive,,,,complete_games
QS,63,pitching,Quality Starts,Quality Starts,QS,true,false,,false,true,positive,,,,quality_starts
64,64,pitching,Shutouts (SHO),Shutouts,SHO,true,false,,false,true,positive,,,Stat_name kept as numeric to match raw breakdown VARIANT (espn-api wrapper does not translate). Confirmed via website QA: each shutout scores 5 points in this league. Identified in Phase 3.2 after observing a 5-point Hosstros delta that exactly matched 1 shutout Ãƒâ€” 5 pts.,shutouts
NH,65,pitching,No-Hitter,No-Hitters,NH,true,false,,false,true,positive,,,,no_hitters
PG,66,pitching,Perfect Game,Perfect Games,PG,true,false,,false,true,positive,,,Previously misidentified as Pitches Per Game. Confirmed via scoring settings: 250-point bonus.,perfect_games
TC,67,fielding,Total Chances,Total Chances,TC,true,false,,false,false,neutral,,,,fielding_chances
PO,68,fielding,Putouts,Putouts,PO,true,false,,false,false,neutral,,,,putouts
A,69,fielding,Assists,Assists,A,true,false,,false,false,neutral,,,,assists_fielding
OFA,70,fielding,Outfield Assists,Outfield Assists,OFA,true,false,,false,false,neutral,,,,outfield_assists
FPCT,71,fielding,Fielding Percentage,Fielding Percentage,FPCT,false,false,,false,false,neutral,,,,fielding_pct
E,72,fielding,Errors,Errors,E,true,false,,false,false,neutral,,,,errors
DP,73,fielding,Double Plays,Double Plays,DP,true,false,,false,false,neutral,,,,double_plays_turned
B_G_W,74,hitting,Batter Games Won,Batter Games Won,B_G_W,true,false,,false,false,neutral,,,,
B_G_L,75,hitting,Batter Games Lost,Batter Games Lost,B_G_L,true,false,,false,false,neutral,,,,
P_G_W,76,pitching,Pitcher Games Won,Pitcher Games Won,P_G_W,true,false,,false,false,neutral,,,,
P_G_L,77,pitching,Pitcher Games Lost,Pitcher Games Lost,P_G_L,true,false,,false,false,neutral,,,,
78,78,pitching,Games Played (Pitcher; internal),Games Played (Pitcher; internal),78,false,false,,false,false,neutral,,,Stat_name kept as numeric to match raw breakdown. Always 1.0 for any pitcher who appeared (starters and relievers). Parallel to id 22 for batters. is_counting=false; not used downstream.,
79,79,pitching,ESPN internal stat ID 79,ESPN internal stat ID 79,79,false,false,,false,false,neutral,,,Stat_name kept as numeric to match raw breakdown. Always 1.0 for starters only in limited data. Suspected duplicate of GS. Not scored.,
80,80,unknown,ESPN internal stat ID 80,ESPN internal stat ID 80,80,false,false,,false,false,neutral,,,Stat_name kept as numeric to match raw breakdown. Never observed in data across 2025-2026. Likely deprecated or reserved.,
G,81,hitting,Games Played by Batters,Games Played by Batters,G,true,false,,false,false,neutral,,,,games_played
K_PER_BB,82,pitching,Strikeout to Walk Ratio,K/BB,K/BB,false,false,,false,true,positive,outs,150,Phase 7 B1: renamed from K/BB to match leaderboard column. Stg filter drops raw K/BB breakdown rows.,
SVHD,83,pitching,Saves Plus Holds,Saves Plus Holds,SVHD,true,false,,false,false,neutral,,,,
STARTER,99,pitching,Starter Designation,Starter Designation,STARTER,false,false,,false,false,neutral,,,Boolean flag for designated starter. Distinct from GS which tracks actual starts.,
SB_CS,,hitting,,Net Stolen Bases (SB-CS),SB-CS,true,true,sb - cs,false,true,positive,,,"Phase 7 B1: derived counting (net stolen bases). ESPN-raw ""SB-CS"" (id 25) catalogs the per-player equivalent separately.",
W_L,,pitching,,Net Wins (W-L),W-L,true,true,w - l,false,true,positive,,,Phase 7 B1: derived counting (net wins). Not in ESPN seed.,
SV_BLSV,,pitching,,Net Saves (SV-BLSV),SV-BLSV,true,true,sv - blsv,false,true,positive,,,Phase 7 B1: derived counting (net saves). Not in ESPN seed.,
HR_PER_9,,pitching,,HR/9,HR/9,false,false,,false,true,negative,outs,150,Phase 7 B1: team-level rate. Not in ESPN seed. Migrating mart-inline -> fct in sub-chunk E.,
BB_PER_9,,pitching,,BB/9,BB/9,false,false,,false,true,negative,outs,150,Phase 7 B1: team-level rate. Not in ESPN seed. Migrating mart-inline -> fct in sub-chunk E.,bb_per_9
WASTED_POINTS,,total,,Wasted Points,Wasted,false,false,,false,true,negative,,,Phase 7 B1: mart-only roster-decision metric. Higher = worse. Rolls up from fct_weekly_team_inactive_performance post-rearchitect.,
NEGATIVE_POINTS,,total,,Negative Points,Neg Pts,false,false,,false,true,negative,,,v1.x: gross-negative-production rollup. Real column on all four facts (sum of per-day magnitudes of negative platform_points). Higher = worse. Polarity=negative + auto_tracked=false surfaces 'Most Negative Points' team-grain record only.,
CALCULATED_POINTS,,total,,Total Points,CALCULATED_POINTS,false,false,,false,true,positive,,,Phase 7 B1: rules-normalized total under current scoring weights. Surfaced as records since Phase 5.,
CALCULATED_HITTING_PTS,,hitting,,Hitting Points,CALCULATED_HITTING_PTS,false,false,,false,true,positive,,,Phase 7 B1: calculated hitting points.,
CALCULATED_PITCHING_PTS,,pitching,,Pitching Points,CALCULATED_PITCHING_PTS,false,false,,false,true,positive,,,Phase 7 B1: calculated pitching points.,
PLATFORM_POINTS,,total,,Platform Total Points,PLATFORM_POINTS,false,false,,false,false,positive,,,Phase 7 B1: ESPN platform total. Includes commissioner adjustments + ESPN W/L authority. v1.3: not a record candidate -- records use the calculated lens; platform mis-buckets two-way.,platform_fantasy_points
PLATFORM_HITTING_PTS,,hitting,,Platform Hitting Points,PLATFORM_HITTING_PTS,false,false,,false,false,positive,,,Phase 7 B1: ESPN platform hitting points. v1.3: not a record candidate.,
PLATFORM_PITCHING_PTS,,pitching,,Platform Pitching Points,PLATFORM_PITCHING_PTS,false,false,,false,false,positive,,,Phase 7 B1: ESPN platform pitching points. v1.3: not a record candidate.,
IRSTR,,pitching,,Inherited Runners Stranded,IRSTR,true,false,,false,false,positive,,,CBS-scored pitching category (+2); no ESPN stat id. Added for the CBS convergence so the INNER JOIN on stat_name at int_player_daily does not drop it (would break the 594/594 FPTS reconciliation). is_record_candidate=false keeps it out of the ESPN leaderboard; CBS records surface it via a CBS-appropriate mart.,inherited_runners_stranded
